Word,Frequency,Frequency(%)
sip,1,0.00
simferopol,1,0.00
stage,1,0.00
sight,1,0.00
shtuttgart,1,0.00
05032018,1,0.00
shevtsova,1,0.00
sheth,1,0.00
sham,1,0.00
setonwatson,1,0.00
set,1,0.00
05042016,1,0.00
seit,1,0.00
seevald,1,0.00
studiesen,1,0.00
taruskin,1,0.00
tarih,1,0.00
044315,1,0.00
t,1,0.00
svx,1,0.00
svo,1,0.00
sustainable,1,0.00
support,1,0.00
suny,1,0.00
045,1,0.00
su,1,0.00
study,1,0.00
urff283,1,0.00
047,1,0.00
strengthened,1,0.00
05,1,0.00
stopped,1,0.00
stock,1,0.00
05022014,1,0.00
05032010,1,0.00
start,1,0.00
stalin,1,0.00
stagnation,1,0.00
stages,1,0.00
wwwmedicalencru,1,0.00
xlsx,1,0.00
01,1,0.00
010,1,0.00
xiixvi,1,0.00
01012017,1,0.00
01012019,1,0.00
xcvii,1,0.00
x5,1,0.00
x,1,0.00
wyd,1,0.00
wwwpogodarunet,1,0.00
wwwnationalmentalitiesru,1,0.00
008,1,0.00
wwwencyclopediaofukrainecom,1,0.00
wwwcountrywatchcom,1,0.00
wwwconstitutionru,1,0.00
wwwbritannicacom,1,0.00
wrocawwarszawakrakw,1,0.00
would,1,0.00
01082016,1,0.00
worldatlas18072018,1,0.00
worldatlas,1,0.00
01112018,1,0.00
01122011,1,0.00
012,1,0.00
xxiii,1,0.00
ziegler,1,0.00
zeit,1,0.00
zakad,1,0.00
yugoslavia,1,0.00
000100,1,0.00
000125,1,0.00
000150,1,0.00
yivo,1,0.00
yangen,1,0.00
00019391948195319581963196819731978198319881993199820032008201320182023,1,0.00
xxvi,1,0.00
xxiv,1,0.00
013,1,0.00
00050,1,0.00
00075,1,0.00
001,1,0.00
xvxvi,1,0.00
xvixx,1,0.00
xvixviii,1,0.00
xviixix,1,0.00
xviiixxi,1,0.00
0028659074,1,0.00
003,1,0.00
005,1,0.00
uudd,1,0.00
vi,1,0.00
02092002,1,0.00
vedemecum,1,0.00
vast,1,0.00
valuation,1,0.00
022,1,0.00
uzupe,1,0.00
uwww,1,0.00
uwuu,1,0.00
uwkd,1,0.00
uuww,1,0.00
uuee,1,0.00
viix,1,0.00
utc2,1,0.00
utc12,1,0.00
ustr,1,0.00
usss,1,0.00
usa,1,0.00
urss,1,0.00
urrr,1,0.00
urmm,1,0.00
url,1,0.00
urkk,1,0.00
urges,1,0.00
wants,1,0.00
wikipedia,1,0.00
014,1,0.00
wieczorkiewicz,1,0.00
when,1,0.00
what,1,0.00
westview,1,0.00
01475967,1,0.00
015,1,0.00
017,1,0.00
watch,1,0.00
020,1,0.00
02042010,1,0.00
051,1,0.00
wachtel,1,0.00
vvo,1,0.00
votes,1,0.00
vonderheid,1,0.00
von,1,0.00
vol28,1,0.00
02052007,1,0.00
vodovozov,1,0.00
vlku,1,0.00
vko,1,0.00
viviii,1,0.00
1024,1,0.00
nonproliferation,1,0.00
no1,1,0.00
no,1,0.00
nj,1,0.00
niversitesi,1,0.00
10111987,1,0.00
newspaper,1,0.00
1015,1,0.00
10236,1,0.00
networks,1,0.00
neo,1,0.00
nautilus,1,0.00
notatia,1,0.00
1025,1,0.00
1067,1,0.00
1068,1,0.00
nation,1,0.00
narodowy,1,0.00
na,1,0.00
1072,1,0.00
museums,1,0.00
msn,1,0.00
mrv,1,0.00
mount,1,0.00
108111,1,0.00
100150,1,0.00
095,1,0.00
oxxxymiron,1,0.00
0952,1,0.00
ovb,1,0.00
other,1,0.00
ossoliskich,1,0.00
orbis,1,0.00
openness,1,0.00
0967067x,1,0.00
oneworld,1,0.00
10000,1,0.00
olympic,1,0.00
moskvu,1,0.00
officially,1,0.00
office,1,0.00
off,1,0.00
1010,1,0.00
october,1,0.00
occupying,1,0.00
1011,1,0.00
obolensky,1,0.00
o,1,0.00
nygren,1,0.00
101102103104105106107108,1,0.00
11102007,1,0.00
many,1,0.00
manpower,1,0.00
magazine,1,0.00
167,1,0.00
machinery,1,0.00
1106,1,0.00
11082022,1,0.00
lpl,1,0.00
losses,1,0.00
loose,1,0.00
longer,1,0.00
london,1,0.00
march,1,0.00
littlefield,1,0.00
listycz,1,0.00
lister,1,0.00
lilia,1,0.00
111112,1,0.00
lies,1,0.00
libraries,1,0.00
libellus,1,0.00
let,1,0.00
1122011,1,0.00
led,1,0.00
medvedkov,1,0.00
more,1,0.00
moorsteen,1,0.00
mood,1,0.00
moment,1,0.00
1088,1,0.00
mllerson,1,0.00
miroslav,1,0.00
109110,1,0.00
millar,1,0.00
milestone,1,0.00
mikhail,1,0.00
men,1,0.00
palgrave,1,0.00
medieval,1,0.00
mediawiki,1,0.00
measuring,1,0.00
means,1,0.00
me,1,0.00
mccauley,1,0.00
may,1,0.00
mass,1,0.00
1102,1,0.00
market,1,0.00
mark,1,0.00
07,1,0.00
061,1,0.00
06122011,1,0.00
063,1,0.00
resulted,1,0.00
restructuring,1,0.00
respond,1,0.00
resources,1,0.00
064,1,0.00
repository,1,0.00
renaissance,1,0.00
ren,1,0.00
0691116121,1,0.00
richard,1,0.00
07042015,1,0.00
07042017,1,0.00
07122016,1,0.00
recognized,1,0.00
rebounding,1,0.00
really,1,0.00
real,1,0.00
rbk,1,0.00
073,1,0.00
ratings,1,0.00
ratestatscom,1,0.00
057,1,0.00
scientificru,1,0.00
0521280389,1,0.00
science,1,0.00
saw,1,0.00
sarahmetolu,1,0.00
santa,1,0.00
s2cid,1,0.00
0521280396,1,0.00
0521283847,1,0.00
053,1,0.00
054,1,0.00
rusdelfilv,1,0.00
rankings,1,0.00
rur,1,0.00
rub,1,0.00
060,1,0.00
royal,1,0.00
rowman,1,0.00
rov,1,0.00
routledge,1,0.00
rosstatgovru,1,0.00
rosji,1,0.00
roman,1,0.00
rights,1,0.00
pln,1,0.00
082418,1,0.00
pozek,1,0.00
084,1,0.00
powers,1,0.00
postsoviet,1,0.00
popular,1,0.00
popraw,1,0.00
pompilius,1,0.00
polls,1,0.00
087,1,0.00
poe,1,0.00
podvig,1,0.00
ppl,1,0.00
pipeline,1,0.00
pew,1,0.00
perrie,1,0.00
per,1,0.00
peninsula,1,0.00
pearson,1,0.00
09102006,1,0.00
participation,1,0.00
part,1,0.00
parlamentn,1,0.00
parameters,1,0.00
077,1,0.00
railroad,1,0.00
raeff,1,0.00
radio,1,0.00
074,1,0.00
quarterlyen,1,0.00
075,1,0.00
076,1,0.00
purges,1,0.00
purchasingpowerparity,1,0.00
publics,1,0.00
protest,1,0.00
profile,1,0.00
learning,1,0.00
080,1,0.00
process,1,0.00
princetonoxford,1,0.00
princeton,1,0.00
pricewaterhousecoopers,1,0.00
prices,1,0.00
08072017,1,0.00
08082019,1,0.00
pravoslavieru,1,0.00
practice,1,0.00
081,1,0.00
1989303,1,0.00
403307212,1,0.00
403,1,0.00
1985299,1,0.00
1986299,1,0.00
400401,1,0.00
1987299,1,0.00
1988299,1,0.00
19891991,1,0.00
3rd,1,0.00
19892015,1,0.00
399,1,0.00
398,1,0.00
19851996,1,0.00
199,1,0.00
395,1,0.00
3932,1,0.00
19902013,1,0.00
392393394,1,0.00
391,1,0.00
1990304,1,0.00
389,1,0.00
388,1,0.00
19911998,1,0.00
19912004,1,0.00
385,1,0.00
4111,1,0.00
19801981,1,0.00
4190,1,0.00
419,1,0.00
417418419,1,0.00
1980299,1,0.00
1981,1,0.00
414413,1,0.00
414,1,0.00
4137,1,0.00
1981299,1,0.00
412,1,0.00
411412,1,0.00
3842,1,0.00
411,1,0.00
4103,1,0.00
4102,1,0.00
4101,1,0.00
1982299,1,0.00
1983299,1,0.00
4095,1,0.00
1984299,1,0.00
408,1,0.00
407,1,0.00
405,1,0.00
3555,1,0.00
1996304,1,0.00
3620,1,0.00
19972014,1,0.00
1997304,1,0.00
1997pwntdv,1,0.00
19981999,1,0.00
3595,1,0.00
3593,1,0.00
359,1,0.00
1998304,1,0.00
357,1,0.00
356,1,0.00
1995304,1,0.00
19992008,1,0.00
354,1,0.00
1999304,1,0.00
3530,1,0.00
19fortyfive,1,0.00
3525,1,0.00
352,1,0.00
351,1,0.00
350351,1,0.00
350,1,0.00
1line,1,0.00
372,1,0.00
1991304,1,0.00
383,1,0.00
382383,1,0.00
382,1,0.00
381,1,0.00
380,1,0.00
19921995,1,0.00
19922022,1,0.00
1992304,1,0.00
19932003,1,0.00
374380,1,0.00
373374,1,0.00
420,1,0.00
371372,1,0.00
371315,1,0.00
371000,1,0.00
1993208,1,0.00
1993304,1,0.00
369,1,0.00
368,1,0.00
367,1,0.00
19942011,1,0.00
3650,1,0.00
1994304,1,0.00
471,1,0.00
1963299,1,0.00
479,1,0.00
478,1,0.00
477315,1,0.00
476,1,0.00
4754,1,0.00
19641982,1,0.00
47405,1,0.00
1964299,1,0.00
473493,1,0.00
472,1,0.00
4712,1,0.00
481,1,0.00
470,1,0.00
1965299,1,0.00
4688,1,0.00
1966,1,0.00
466,1,0.00
465,1,0.00
1966299,1,0.00
460,1,0.00
1967299,1,0.00
459,1,0.00
458,1,0.00
457,1,0.00
494,1,0.00
5069,1,0.00
1959300,1,0.00
503,1,0.00
502,1,0.00
5000,1,0.00
1960,1,0.00
1960299,1,0.00
1961,1,0.00
4991,1,0.00
19612013,1,0.00
4952,1,0.00
4950,1,0.00
4560,1,0.00
4916,1,0.00
491,1,0.00
1961299,1,0.00
1962,1,0.00
489,1,0.00
488,1,0.00
4875,1,0.00
48610429,1,0.00
1962299,1,0.00
485,1,0.00
1963,1,0.00
1977299,1,0.00
4343,1,0.00
434,1,0.00
43368,1,0.00
4331,1,0.00
1973299,1,0.00
1974299,1,0.00
1975299,1,0.00
4300,1,0.00
1976,1,0.00
1976299,1,0.00
429,1,0.00
427428,1,0.00
1973,1,0.00
4251,1,0.00
1978299,1,0.00
4248,1,0.00
4244,1,0.00
42413b,1,0.00
1979,1,0.00
1979302,1,0.00
198,1,0.00
42212,1,0.00
421,1,0.00
4207,1,0.00
4421,1,0.00
1968,1,0.00
455,1,0.00
1968299,1,0.00
453454455,1,0.00
4534,1,0.00
452,1,0.00
1969299,1,0.00
1970301,1,0.00
448,1,0.00
1971299,1,0.00
445,1,0.00
443444445446447,1,0.00
349,1,0.00
442,1,0.00
441,1,0.00
4404,1,0.00
4400,1,0.00
440,1,0.00
1972299,1,0.00
439,1,0.00
438,1,0.00
4376,1,0.00
4368,1,0.00
436437,1,0.00
258,1,0.00
2020226,1,0.00
26072010,1,0.00
26052015,1,0.00
26032018,1,0.00
260273,1,0.00
2020313,1,0.00
20210813,1,0.00
2021314,1,0.00
2593,1,0.00
259260,1,0.00
2022293,1,0.00
258943,1,0.00
26112007,1,0.00
202313,1,0.00
2551,1,0.00
255,1,0.00
254268,1,0.00
2027,1,0.00
2029,1,0.00
2035,1,0.00
2049,1,0.00
2052017,1,0.00
2497,1,0.00
2495,1,0.00
249,1,0.00
269,1,0.00
275299,1,0.00
275,1,0.00
273274,1,0.00
2730,1,0.00
273,1,0.00
272,1,0.00
271272,1,0.00
27100,1,0.00
2017310,1,0.00
27052018,1,0.00
20180126,1,0.00
2018311,1,0.00
205209,1,0.00
268,1,0.00
2018390,1,0.00
2019312,1,0.00
2650,1,0.00
202,1,0.00
264,1,0.00
263,1,0.00
262266,1,0.00
262263,1,0.00
20202021,1,0.00
26121991,1,0.00
2265ix,1,0.00
232,1,0.00
23112012,1,0.00
2110,1,0.00
212,1,0.00
215,1,0.00
2295,1,0.00
2294,1,0.00
229,1,0.00
2286,1,0.00
2151,1,0.00
227994,1,0.00
227,1,0.00
2324,1,0.00
2232,1,0.00
219220,1,0.00
21st,1,0.00
22122015,1,0.00
22122011,1,0.00
221,1,0.00
22082006,1,0.00
22062016,1,0.00
22062013,1,0.00
22042007,1,0.00
22022016,1,0.00
24082010,1,0.00
2472,1,0.00
2058,1,0.00
246c,1,0.00
2450,1,0.00
245,1,0.00
2434,1,0.00
243244,1,0.00
243,1,0.00
2428,1,0.00
242,1,0.00
241,1,0.00
24092012,1,0.00
276,1,0.00
2408,1,0.00
2083,1,0.00
2399,1,0.00
2394,1,0.00
2090,1,0.00
2093,1,0.00
20996,1,0.00
234257,1,0.00
234,1,0.00
2336,1,0.00
233,1,0.00
316,1,0.00
328,1,0.00
327,1,0.00
325,1,0.00
323334,1,0.00
20072016,1,0.00
322323324,1,0.00
20072017,1,0.00
2007304,1,0.00
20081130t10160300z,1,0.00
318319,1,0.00
317,1,0.00
316317,1,0.00
20072008,1,0.00
31500,1,0.00
20082009,1,0.00
314,1,0.00
20082012,1,0.00
31082018,1,0.00
31052016,1,0.00
310,1,0.00
2008304,1,0.00
309,1,0.00
20092011,1,0.00
305,1,0.00
2009304,1,0.00
338315,1,0.00
3487,1,0.00
2000304,1,0.00
346,1,0.00
3458,1,0.00
345,1,0.00
2001304,1,0.00
20022012,1,0.00
2002305,1,0.00
341,1,0.00
2002326,1,0.00
2003304,1,0.00
20042006,1,0.00
20102011,1,0.00
20042015,1,0.00
2004304,1,0.00
200506,1,0.00
20052007,1,0.00
20052015,1,0.00
333338,1,0.00
333334,1,0.00
2005304,1,0.00
331,1,0.00
330,1,0.00
2006304,1,0.00
2824,1,0.00
29062017,1,0.00
29052012,1,0.00
29042016,1,0.00
29032011,1,0.00
290291,1,0.00
2013304,1,0.00
2897,1,0.00
20140318,1,0.00
287,1,0.00
286,1,0.00
2014307,1,0.00
20152016,1,0.00
2012304,1,0.00
282,1,0.00
2015308,1,0.00
281,1,0.00
28072016,1,0.00
280,1,0.00
20160301,1,0.00
2016309,1,0.00
20172018,1,0.00
20172019,1,0.00
277278,1,0.00
277,1,0.00
20111996,1,0.00
3028,1,0.00
301303,1,0.00
20102014,1,0.00
2010306,1,0.00
301,1,0.00
30092022,1,0.00
30092017,1,0.00
30062017,1,0.00
30062015,1,0.00
30032010,1,0.00
2010317,1,0.00
2010326,1,0.00
507,1,0.00
20112012,1,0.00
2nd,1,0.00
2993,1,0.00
2989,1,0.00
2011228,1,0.00
2930,1,0.00
293,1,0.00
2011304,1,0.00
291315,1,0.00
29102014,1,0.00
20122016,1,0.00
86133,1,0.00
880,1,0.00
88,1,0.00
879,1,0.00
8789,1,0.00
871,1,0.00
870,1,0.00
177315,1,0.00
867,1,0.00
865,1,0.00
864,1,0.00
86212,1,0.00
178,1,0.00
17703,1,0.00
861,1,0.00
1795,1,0.00
1796,1,0.00
854,1,0.00
8516,1,0.00
1802,1,0.00
18052018,1,0.00
848,1,0.00
846,1,0.00
840,1,0.00
839,1,0.00
18102022,1,0.00
9000,1,0.00
913315,1,0.00
913,1,0.00
9122019,1,0.00
912,1,0.00
910,1,0.00
91,1,0.00
908,1,0.00
906,1,0.00
905,1,0.00
903,1,0.00
902,1,0.00
90145,1,0.00
836315,1,0.00
1732,1,0.00
174,1,0.00
1755,1,0.00
899091,1,0.00
895,1,0.00
1756,1,0.00
890,1,0.00
176,1,0.00
1762,1,0.00
884,1,0.00
8821996,1,0.00
794,1,0.00
803,1,0.00
802,1,0.00
8000,1,0.00
1829,1,0.00
183,1,0.00
1850,1,0.00
7991,1,0.00
799,1,0.00
7980,1,0.00
7962,1,0.00
796,1,0.00
795,1,0.00
80316,1,0.00
793,1,0.00
1851,1,0.00
7918,1,0.00
791,1,0.00
186,1,0.00
788,1,0.00
18601870,1,0.00
7859,1,0.00
784,1,0.00
1861,1,0.00
186187188189190191192193194,1,0.00
818,1,0.00
836,1,0.00
8339,1,0.00
8304046415,1,0.00
830,1,0.00
1812,1,0.00
8299,1,0.00
8290,1,0.00
828,1,0.00
1814,1,0.00
822,1,0.00
1815,1,0.00
819,1,0.00
9187,1,0.00
8177,1,0.00
8157,1,0.00
8151,1,0.00
811,1,0.00
182183184,1,0.00
8090,1,0.00
1828,1,0.00
8064,1,0.00
806,1,0.00
804,1,0.00
80363,1,0.00
9785805502553,1,0.00
9789750615221,1,0.00
9789665214663,1,0.00
9785961443844,1,0.00
9785916713527,1,0.00
9785912900228,1,0.00
9785852703736,1,0.00
9785852703729,1,0.00
9785852703705,1,0.00
9785852703668,1,0.00
1690,1,0.00
9785852703583,1,0.00
9785852703507,1,0.00
979,1,0.00
9785759817673,1,0.00
9785496000680,1,0.00
9785459016505,1,0.00
9785392018284,1,0.00
978517102614,1,0.00
9785040577408,1,0.00
9781786071439,1,0.00
9781405135603,1,0.00
9781349260805,1,0.00
9781136992001,1,0.00
9780816071128,1,0.00
9780816044542,1,0.00
1657,1,0.00
analysis,1,0.00
anadolu,1,0.00
165171,1,0.00
also,1,0.00
1653,1,0.00
alabama,1,0.00
agricultural,1,0.00
agency,1,0.00
after,1,0.00
aer,1,0.00
acca,1,0.00
abe,1,0.00
9780813343952,1,0.00
999,1,0.00
998,1,0.00
997,1,0.00
995315,1,0.00
994315,1,0.00
1667,1,0.00
990,1,0.00
22022014,1,0.00
167168169170,1,0.00
980,1,0.00
168,1,0.00
938,1,0.00
958,1,0.00
955,1,0.00
949596,1,0.00
949,1,0.00
948,1,0.00
172,1,0.00
946,1,0.00
945,1,0.00
943,1,0.00
172173174,1,0.00
940,1,0.00
94,1,0.00
96,1,0.00
937,1,0.00
1722,1,0.00
1725,1,0.00
931,1,0.00
1728,1,0.00
929,1,0.00
9272,1,0.00
17281732,1,0.00
9247,1,0.00
922,1,0.00
1731,1,0.00
978,1,0.00
9780742510180,1,0.00
9780700621217,1,0.00
9780521815291,1,0.00
9780521812276,1,0.00
9780521811446,1,0.00
9780521543231,1,0.00
9780313363085,1,0.00
9780199947898,1,0.00
9780199580989,1,0.00
9780199560417,1,0.00
9780195121797,1,0.00
16939,1,0.00
781,1,0.00
977,1,0.00
972,1,0.00
970,1,0.00
170,1,0.00
969,1,0.00
968315,1,0.00
968,1,0.00
967,1,0.00
965,1,0.00
963,1,0.00
9616,1,0.00
580,1,0.00
596,1,0.00
5948020037,1,0.00
594605,1,0.00
19391945,1,0.00
1939295,1,0.00
194,1,0.00
590,1,0.00
1940298,1,0.00
587,1,0.00
585,1,0.00
582,1,0.00
5804405349,1,0.00
597,1,0.00
1941298,1,0.00
194445,1,0.00
19451965,1,0.00
575,1,0.00
57417,1,0.00
5723,1,0.00
5719,1,0.00
5710705772,1,0.00
1946,1,0.00
1946298,1,0.00
568,1,0.00
567,1,0.00
610,1,0.00
629630,1,0.00
629,1,0.00
628,1,0.00
627,1,0.00
626,1,0.00
624,1,0.00
623,1,0.00
621622,1,0.00
616,1,0.00
615,1,0.00
613,1,0.00
1930s,1,0.00
5660,1,0.00
1931,1,0.00
1933,1,0.00
19371938,1,0.00
1937295,1,0.00
603,1,0.00
601,1,0.00
6000,1,0.00
1938,1,0.00
19391940,1,0.00
599,1,0.00
598,1,0.00
5211025210,1,0.00
1954,1,0.00
536,1,0.00
534,1,0.00
1954299,1,0.00
532,1,0.00
1955,1,0.00
529,1,0.00
1955299,1,0.00
525,1,0.00
5249,1,0.00
523,1,0.00
5224031605,1,0.00
1953299,1,0.00
5203002991,1,0.00
5202,1,0.00
1956,1,0.00
517315,1,0.00
517,1,0.00
1956299,1,0.00
1957299,1,0.00
511682,1,0.00
510,1,0.00
1958,1,0.00
1958299,1,0.00
19502012,1,0.00
566,1,0.00
1947,1,0.00
5642,1,0.00
1947298,1,0.00
561,1,0.00
1948298,1,0.00
5596,1,0.00
1949298,1,0.00
5552,1,0.00
5548014,1,0.00
554,1,0.00
552,1,0.00
6297,1,0.00
550,1,0.00
1950298,1,0.00
549,1,0.00
1951299,1,0.00
544,1,0.00
5436,1,0.00
543,1,0.00
542,1,0.00
1952,1,0.00
1952299,1,0.00
539556,1,0.00
7173,1,0.00
731,1,0.00
190713catholic,1,0.00
729,1,0.00
7273,1,0.00
726,1,0.00
723,1,0.00
721,1,0.00
1908,1,0.00
1909,1,0.00
719,1,0.00
7187,1,0.00
718,1,0.00
7366,1,0.00
715,1,0.00
191,1,0.00
1910,1,0.00
71102,1,0.00
1911,1,0.00
1912,1,0.00
7079,1,0.00
707,1,0.00
705,1,0.00
703,1,0.00
701,1,0.00
757,1,0.00
1869,1,0.00
7778,1,0.00
7743,1,0.00
772,1,0.00
189,1,0.00
7685,1,0.00
768,1,0.00
7667,1,0.00
18901907,1,0.00
761,1,0.00
759,1,0.00
758,1,0.00
19171918,1,0.00
754,1,0.00
753,1,0.00
752,1,0.00
751293,1,0.00
750765800,1,0.00
1897295,1,0.00
749,1,0.00
7485,1,0.00
748,1,0.00
745,1,0.00
1905,1,0.00
1926,1,0.00
670,1,0.00
1921,1,0.00
669,1,0.00
192122,1,0.00
666,1,0.00
19223,1,0.00
663,1,0.00
662315,1,0.00
657,1,0.00
656,1,0.00
653,1,0.00
650,1,0.00
672675,1,0.00
1926296,1,0.00
645315,1,0.00
19281958,1,0.00
643,1,0.00
1928297,1,0.00
638,1,0.00
637,1,0.00
192853,1,0.00
19289,1,0.00
632,1,0.00
630,1,0.00
1919,1,0.00
19171922,1,0.00
19172007,1,0.00
1917ye,1,0.00
698,1,0.00
697,1,0.00
695,1,0.00
694,1,0.00
692,1,0.00
6911,1,0.00
690,1,0.00
19181936,1,0.00
6895,1,0.00
1651,1,0.00
6869,1,0.00
192,1,0.00
685315,1,0.00
1920,1,0.00
683,1,0.00
682,1,0.00
19201930,1,0.00
6792,1,0.00
678,1,0.00
676,1,0.00
674,1,0.00
